,tick,institutional,shares_outstanding,value_holdings,increased_positions_holders,increased_positions_shares,decreased_positions_holders,decreased_positions_shares,held_positions_holders,total_positions_shares,new_positions_holders,new_positions_shares,sold_positions_holders,sold_positions_shares
231,ANDE,74.86 %,33,$928,64,"719,807",78,"1,222,284",166,"24,918,959",17,"235,837",11,"349,347"
232,ANEB,17.92 %,23,$27,1,614,5,"17,237",9,"4,183,272",0,0,0,0
233,ANGI,84.75 %,80,$636,71,"5,569,115",61,"5,012,704",152,"68,113,115",22,"1,577,327",21,"1,647,082"
234,ANGN,23.67 %,30,$28,36,"2,357,670",12,"295,272",55,"7,090,802",14,"430,183",8,"245,336"
235,ANGO,93.54 %,39,"$1,018",61,"3,317,334",87,"4,266,115",172,"36,153,944",14,"1,130,332",17,"662,716"
236,ANIK,91.21 %,14,$534,45,"764,213",65,"765,148",145,"13,168,241",7,"45,863",12,"279,263"
237,ANIP,54.02 %,14,$346,41,"951,898",61,"488,772",128,"7,692,499",14,"195,491",12,"111,961"
238,ANIX,10.61 %,30,$12,15,"404,573",14,"178,886",39,"3,177,514",7,"102,438",4,"24,182"
239,ANNX,101.88 %,38,$546,44,"4,321,327",33,"4,044,331",90,"39,098,007",17,"2,093,154",9,"828,742"
240,ANPC,1.51 %,13,$0,3,"43,794",3,"18,728",8,"197,723",2,"43,007",2,"18,461"
241,ANSS,92.13 %,87,"$31,527",346,"3,749,682",295,"2,525,234",793,"80,384,036",53,"1,243,776",62,"380,393"
242,ANTE,0.38 %,178,$1,7,"68,442",4,"28,467",12,"672,930",4,"31,629",0,0
243,ANY,6.02 %,60,$20,29,"2,560,960",3,"146,885",36,"3,627,701",24,"1,972,333",2,"145,306"
244,ANZU,56.99 %,42,$237,26,"3,011,583",6,"633,134",71,"24,220,608",14,"1,151,124",3,"600,571"
245,ANZUU,37.30 %,42,$159,13,"1,031,751",29,"3,020,362",70,"15,852,847",7,"881,246",18,"1,621,390"
246,ANZUW,09/30/2021,0,$529,09/30/2021,"431,952",1.124%,$359,0%,$335,09/30/2021,"382,563",0%,$318
247,AOSL,56.42 %,26,$682,70,"1,230,526",61,"1,519,768",146,"14,883,484",22,"444,474",17,"272,690"
248,AOUT,65.26 %,14,$221,50,"1,154,535",70,"1,452,489",160,"9,204,227",20,"284,912",26,"744,598"
249,APA,86.49 %,363,"$8,945",199,"43,354,884",217,"41,052,376",521,"314,196,396",64,"10,602,215",58,"5,174,526"
250,APAC,56.15 %,20,$111,27,"11,230,452",0,0,27,"11,230,452",27,"11,230,452",0,0
251,APACU,26.23 %,20,$53,33,"5,245,980",0,0,33,"5,245,980",33,"5,245,980",0,0
252,APACW,09/30/2021,"839,749",$445,09/30/2021,"600,000",New,$318,New,$265,09/30/2021,"437,903",New,$232
253,APDN,7.01 %,7,$3,13,"70,028",5,"44,187",19,"524,718",2,46,2,"20,527"
254,APEI,92.46 %,19,$373,49,"1,188,730",71,"1,677,734",142,"17,297,911",11,"303,250",13,"164,014"
255,APEN,44.43 %,39,$144,30,"2,183,982",13,"256,991",56,"17,546,020",11,"1,379,369",2,"49,623"
256,APLT,57.63 %,26,$163,29,"738,396",25,"996,941",76,"15,109,071",8,"47,052",7,"459,688"
257,APMIU,82.29 %,15,$123,34,"12,343,396",0,0,34,"12,343,396",34,"12,343,396",0,0
258,APOG,92.03 %,25,"$1,109",57,"1,313,596",91,"1,659,994",184,"23,315,132",14,"698,991",21,"343,178"
259,APP,64.40 %,226,"$13,550",94,"15,808,245",33,"3,684,335",143,"145,809,454",53,"4,711,957",17,"2,288,006"
260,APPF,83.65 %,19,"$1,986",86,"945,201",66,"1,128,471",182,"16,073,788",21,"88,733",25,"216,971"
261,APPH,41.38 %,101,$220,105,"9,422,994",53,"17,951,373",173,"41,667,475",44,"4,042,103",27,"6,848,670"
262,APPS,62.78 %,97,"$3,388",213,"19,451,802",141,"10,047,890",393,"60,662,214",78,"3,284,664",75,"5,453,700"
263,APTM,7.86 %,29,$22,12,"2,287,964",0,0,12,"2,287,964",12,"2,287,964",0,0
264,APTO,44.75 %,89,$98,36,"5,383,012",32,"15,504,695",79,"39,802,835",13,"1,565,178",12,"7,859,800"
265,APTX,50.35 %,68,$79,9,"688,881",38,"1,857,869",67,"34,093,926",2,"154,307",18,"1,002,747"
266,APVO,59.59 %,5,$50,12,"429,356",11,"428,158",35,"2,918,830",5,"419,794",8,"411,610"
267,APWC,1.57 %,14,$1,1,"2,942",4,"84,050",8,"217,007",0,0,3,"19,130"
268,APYX,56.29 %,34,$329,34,"857,082",37,"771,020",83,"19,333,261",9,"301,433",7,"97,107"
269,AQB,55.92 %,71,$106,45,"2,115,573",47,"2,237,176",120,"39,720,448",23,"609,616",17,"645,211"
270,AQMS,18.69 %,70,$22,17,"2,006,529",36,"1,746,476",74,"13,054,013",6,"501,033",15,"882,735"
271,ARBEW,09/30/2021,"740,050",$977,09/30/2021,"419,352",-0.397%,$554,0%,$528,09/30/2021,"375,000",0%,$495
272,ARBG,78.52 %,23,$177,16,"438,296",11,"106,678",64,"18,058,744",5,"261,340",3,"80,698"
273,ARBGU,7.88 %,23,$18,7,"26,080",9,"297,652",26,"1,811,602",1,"20,000",4,"194,983"
274,ARBGW,09/30/2021,0,$735,09/30/2021,"307,833",82.682%,$228,0%,$148,09/30/2021,"166,660",0%,$123
275,ARBK,4.02 %,47,$34,19,"1,879,854",0,0,19,"1,879,854",19,"1,879,854",0,0
276,ARCB,89.98 %,26,"$2,534",95,"2,034,912",110,"2,214,325",245,"23,007,310",30,"480,552",27,"377,003"
277,ARCC,30.27 %,461,"$2,864",302,"19,214,426",151,"5,582,689",584,"139,457,566",53,"8,105,909",27,"2,217,834"
278,ARCE,89.52 %,30,$485,34,"7,646,629",47,"5,931,259",86,"27,023,299",12,"2,953,099",22,"2,335,886"
279,ARCT,72.50 %,26,$677,83,"1,983,031",58,"3,298,108",171,"19,111,376",35,"823,435",16,"1,371,933"
280,ARDS,14.17 %,14,$4,12,"1,332,181",4,"417,712",20,"1,991,290",8,"1,236,698",3,"109,042"
281,ARDX,43.85 %,113,$45,60,"9,186,137",67,"44,328,024",148,"49,441,294",22,"1,809,292",38,"34,131,021"
282,AREC,8.15 %,62,$9,20,"1,386,565",13,"711,812",38,"5,031,636",7,"225,002",7,"428,514"
283,ARGUU,91.08 %,30,$291,67,"27,755,224",0,0,67,"27,755,224",67,"27,755,224",0,0
284,ARGX,55.92 %,51,"$7,748",94,"1,428,670",71,"1,406,990",193,"28,483,070",20,"471,215",17,"92,844"
285,ARKOW,09/30/2021,0,"$4,008",09/30/2021,"1,100,000",0%,"$2,489",554.103%,"$2,072",09/30/2021,"843,166",0%,"$1,908"
286,ARKR,14.47 %,4,$9,4,"16,752",10,"76,449",20,"513,894",1,406,2,"5,639"
287,ARLP,18.23 %,127,$255,42,"3,092,516",23,"1,957,640",102,"23,184,181",18,"978,793",5,"108,870"
288,ARNA,93.85 %,61,"$3,369",128,"7,119,285",93,"6,415,727",269,"57,555,713",32,"2,689,562",31,"2,580,903"
289,AROW,43.58 %,16,$262,35,"284,662",52,"261,216",98,"6,981,372",5,"34,082",6,"40,463"
290,ARQQ,0.85 %,120,$27,14,"755,958",70,"29,290,430",84,"1,024,692",13,"706,344",66,"26,070,587"
291,ARQQW,09/30/2021,"-111,260","$6,139",09/30/2021,"280,367",New,"$1,651",215.87%,$899,09/30/2021,"146,800",1368%,$865
292,ARQT,90.76 %,50,$799,39,"1,424,404",42,"1,153,302",110,"45,645,768",13,"161,199",9,"126,057"
293,ARRW,66.88 %,29,$187,27,"3,463,766",4,"178,107",60,"19,228,094",14,"1,213,940",1,"36,308"
294,ARTA,33.49 %,34,$112,37,"11,363,610",0,0,37,"11,363,610",37,"11,363,610",0,0
295,ARTAU,20.13 %,30,$61,6,"1,431,515",32,"9,573,341",45,"6,039,053",5,"1,430,981",26,"6,166,393"
296,ARTAW,09/30/2021,"725,603",$606,09/30/2021,"666,666",New,$557,New,$97,09/30/2021,"108,333",New,$90
297,ARTEU,95.97 %,20,$195,40,"19,313,719",0,0,40,"19,313,719",40,"19,313,719",0,0
298,ARTL,8.11 %,24,$1,8,"115,905",9,"900,656",20,"1,986,935",0,0,3,"228,749"
299,ARTLW,09/30/2021,0,$5,09/30/2021,"14,100",0%,$2,New,$2,09/30/2021,"4,377",-4.16%,$1
300,ARTNA,50.06 %,9,$193,38,"312,748",41,"280,893",98,"4,267,692",9,"70,753",9,"83,313"
301,ARTW,5.09 %,5,$1,3,"1,913",5,"41,986",15,"230,998",1,3,1,"11,754"
302,ARVL,6.23 %,664,$369,51,"16,416,764",53,"29,748,802",120,"41,361,195",22,"1,030,667",37,"6,640,663"
303,ARWR,67.86 %,104,"$5,016",148,"7,011,480",154,"3,996,078",353,"70,755,249",38,"3,961,550",49,"1,665,598"
304,ASAXW,09/30/2021,"-21,385",$389,09/30/2021,"500,000",New,$354,196.712%,$324,09/30/2021,"295,913",New,$210
305,ASLE,71.38 %,45,$557,23,"438,506",27,"900,706",59,"32,110,696",7,"177,532",8,"170,893"
306,ASLEW,09/30/2021,"456,307","$5,401",09/30/2021,"130,000",0%,$806,0%,$782,09/30/2021,"70,847",-60.41%,$439
307,ASPAU,11.85 %,5,$6,5,"625,265",0,0,5,"625,265",5,"625,265",0,0
308,ASRT,13.88 %,45,$8,16,"541,443",20,"2,948,462",49,"6,193,840",7,"235,436",11,"2,780,959"
309,ASTRW,09/30/2021,"677,121","$5,407",09/30/2021,"580,004",-16.832%,"$1,662",10.383%,$680,09/30/2021,"226,431",New,$649
310,ASTS,27.06 %,52,$149,43,"2,301,509",38,"4,289,408",90,"13,997,316",18,"1,444,715",13,"1,406,470"
311,ASTSW,09/30/2021,"48,443","$12,720",09/30/2021,"558,645",-15.183%,"$2,352",0%,"$1,459",09/30/2021,"192,793",New,$812
312,ASUR,66.33 %,20,$112,19,"217,676",30,"553,542",70,"13,245,588",3,"15,124",3,"78,960"
313,ASYS,47.62 %,14,$70,23,"1,209,591",31,"1,093,276",65,"6,787,165",10,"923,793",13,"408,679"
314,ATCX,24.75 %,34,$83,36,"1,208,198",26,"1,182,319",69,"8,319,052",13,"511,975",13,"279,557"
315,ATHA,66.73 %,37,$358,53,"3,351,900",38,"3,112,220",108,"24,926,248",22,"961,465",15,"1,764,321"
316,ATHE,1.59 %,40,$1,4,"30,385",7,"382,397",17,"638,284",4,"30,385",4,"279,499"
317,ATHX,21.73 %,235,$52,60,"3,138,446",46,"2,690,591",155,"51,114,055",15,"446,207",13,"492,967"
318,ATIF,0.55 %,9,$0,3,"4,798",8,"87,157",11,"49,979",3,"4,798",6,"82,279"
319,ATLC,16.31 %,15,$163,49,"387,744",18,"524,563",76,"2,461,275",25,"243,301",6,"342,942"
320,ATNF,7.67 %,34,$11,17,"1,359,349",11,"979,615",36,"2,608,658",5,"193,531",6,"518,602"
321,ATOM,30.94 %,23,$168,38,"500,561",37,"596,849",92,"7,164,168",13,"288,397",13,"391,479"
322,ATOS,24.54 %,127,$69,50,"6,193,089",40,"10,843,344",107,"31,074,332",21,"2,871,014",15,"3,416,042"
323,ATRO,74.95 %,25,$234,34,"1,590,899",60,"3,368,847",116,"18,801,390",6,"75,738",18,"574,840"
324,ATRS,49.29 %,170,$286,93,"7,375,893",61,"5,611,792",195,"83,812,268",22,"2,997,419",19,"1,412,546"
325,ATSG,95.71 %,74,"$1,994",73,"5,709,951",64,"5,823,206",172,"71,016,972",20,"2,029,411",17,"3,789,373"
326,ATSPT,38.89 %,17,$67,16,"2,719,440",3,"325,867",31,"6,790,853",13,"2,469,740",2,"325,812"
327,ATSPU,33.06 %,14,$46,9,"63,847",15,"2,383,113",48,"4,526,393",4,"56,083",14,"2,369,521"
328,ATSPW,09/30/2021,0,$291,09/30/2021,"172,817",0%,$242,0%,$185,09/30/2021,"124,800",New,$175
329,ATVC,57.35 %,28,$155,21,"5,961,206",1,"21,673",40,"15,828,632",12,"4,333,916",0,0
330,ATVCU,28.17 %,28,$78,7,"151,553",18,"5,632,785",37,"7,776,067",3,"48,234",8,"3,979,288"
331,ATXS,56.68 %,13,$47,19,"1,833,907",43,"1,255,417",64,"7,374,334",6,"123,863",27,"1,093,673"
332,ATY,18.97 %,61,$42,23,"4,394,436",32,"3,035,492",62,"11,500,483",14,"3,517,379",16,"1,350,896"
333,AUB,71.21 %,76,"$1,948",101,"2,622,607",102,"2,951,130",260,"53,871,226",15,"388,621",17,"649,872"
334,AUBAP,0.52 %,7,$1,0,0,2,"19,289",2,"36,200",0,0,1,"18,989"
335,AUBN,7.90 %,4,$9,7,"9,679",17,"43,361",32,"278,816",1,59,4,"22,711"
336,AUDC,43.24 %,33,$501,55,"2,569,503",54,"1,891,094",128,"14,149,947",10,"791,410",17,"816,648"
337,AUID,2.46 %,23,$9,11,"535,970",0,0,12,"571,571",11,"535,970",0,0
338,AUPH,35.26 %,130,$885,81,"11,994,631",83,"16,973,489",198,"45,720,090",39,"4,495,218",33,"11,170,476"
339,AUR,12.24 %,643,$956,59,"41,200,623",28,"20,766,134",114,"78,700,460",43,"23,129,085",17,"14,129,110"
340,AURC,68.23 %,28,$189,18,"6,717,269",19,"2,879,410",59,"18,969,503",13,"5,893,019",6,"1,645,205"
341,AURCU,2.09 %,28,$6,0,0,15,"3,672,055",19,"581,970",0,0,11,"3,487,340"
342,AURCW,09/30/2021,"-84,168",$235,09/30/2021,"153,167",0%,$233,0%,$190,09/30/2021,"109,986",New,$167
343,AUROW,09/30/2021,"1,335,000","$5,854",09/30/2021,"763,500",110.041%,"$2,436",0%,"$2,393",09/30/2021,"561,121",15.102%,"$1,790"
344,AUTL,33.28 %,73,$151,31,"4,542,016",33,"4,842,915",75,"24,210,899",10,"252,994",19,"1,674,808"
345,AUTO,13.06 %,13,$5,7,"85,613",10,"100,151",24,"1,758,553",4,"21,266",1,156
346,AUUD,3.78 %,12,$1,10,"132,227",7,"128,062",17,"469,506",5,"53,593",4,"40,293"
347,AUUDW,09/30/2021,"37,800",$35,09/30/2021,"27,000",New,$14,New,$5,09/30/2021,"7,000",-34.334%,$4
348,AVAH,66.69 %,184,$889,50,"5,888,727",43,"7,928,279",103,"122,819,253",13,"905,675",17,"5,034,531"
349,AVAV,83.14 %,25,"$1,770",104,"2,352,629",104,"1,489,490",262,"20,629,355",27,"163,751",41,"529,746"
350,AVCO,1.38 %,86,$1,4,"115,172",21,"346,658",27,"1,184,341",1,"75,000",12,"252,483"
351,AVCT,1.63 %,68,$2,8,"768,003",10,"99,203",22,"1,106,896",5,"758,954",8,"98,351"
352,AVCTW,09/30/2021,"138,477",$218,09/30/2021,"970,585",0%,$193,0%,$134,09/30/2021,"250,000",0%,$50
353,AVDL,55.06 %,58,$311,39,"3,170,874",30,"3,764,224",92,"32,067,146",11,"540,881",9,"910,480"
354,AVGR,12.15 %,96,$7,13,"1,128,229",11,"506,802",36,"11,611,952",8,"567,552",5,"487,702"
355,AVIR,68.39 %,83,$436,99,"9,009,889",46,"10,444,527",157,"56,837,579",57,"5,001,034",17,"3,819,946"
356,AVNW,55.33 %,11,$194,42,"752,641",58,"1,007,404",135,"6,186,391",20,"238,843",24,"429,812"
357,AVO,21.92 %,71,$303,37,"3,094,742",24,"502,497",76,"15,475,739",8,"1,262,949",7,"109,916"
358,AVPT,13.90 %,181,$175,47,"23,771,884",19,"2,891,354",71,"25,218,586",39,"19,950,262",12,"2,128,489"
359,AVPTW,09/30/2021,0,"$4,671",09/30/2021,"2,470,646",0.292%,"$3,459",New,$347,09/30/2021,"185,877",New,$260
360,AVRO,68.96 %,44,$132,54,"3,329,189",42,"5,602,749",117,"30,083,443",20,"1,872,570",15,"1,389,714"
361,AVT,97.05 %,99,"$3,782",136,"6,466,619",157,"6,439,903",340,"96,295,053",31,"1,306,903",42,"945,483"
362,AVTE,88.71 %,24,$314,32,"2,201,990",9,"512,422",46,"21,654,819",29,"1,973,387",5,"155,179"
363,AVTX,71.66 %,112,$176,41,"15,722,267",33,"1,988,867",88,"80,488,131",18,"2,572,535",12,"274,288"
364,AVXL,27.48 %,76,$374,73,"2,336,112",45,"3,262,897",151,"20,804,705",28,"986,489",17,"1,516,850"
365,AXON,74.14 %,68,"$8,850",210,"2,282,938",155,"1,647,298",456,"50,761,369",62,"1,321,973",24,"128,897"
366,AXTI,53.75 %,43,$200,60,"3,192,284",42,"4,838,133",118,"22,989,779",15,"721,567",15,"4,005,368"
367,AY,41.75 %,111,"$1,811",112,"2,403,134",71,"2,991,601",219,"46,272,054",26,"812,139",26,"1,426,975"
368,AYLA,20.39 %,13,$26,6,"888,671",4,"240,220",14,"2,700,453",2,"592,723",1,"10,457"
369,BANR,85.18 %,34,"$1,833",90,"1,409,746",86,"1,583,539",216,"29,177,220",26,"489,454",11,"497,626"
370,BANX,24.51 %,7,$38,7,"500,970",13,"137,704",33,"1,732,606",1,1,3,"27,164"
371,BAOS,0.08 %,29,$0,2,"22,874",4,"32,268",6,"23,741",2,"22,874",3,"29,346"
372,BASE,38.65 %,43,$529,69,"16,752,874",0,0,69,"16,752,874",69,"16,752,874",0,0
373,BATRA,78.64 %,10,$247,41,"655,066",43,"629,401",142,"8,110,172",10,"237,745",12,"472,827"
374,BATRK,77.63 %,41,$958,57,"1,636,044",67,"1,448,417",200,"31,806,315",15,"303,669",15,"920,760"
375,BBBY,106.08 %,101,"$2,388",132,"14,615,490",137,"15,849,697",327,"107,207,912",49,"6,860,806",47,"3,054,480"
376,BBIG,14.79 %,124,$57,37,"15,160,889",32,"1,166,584",72,"18,302,764",21,"2,611,420",17,"476,466"
377,BCAB,71.78 %,35,$642,61,"5,863,580",27,"1,659,603",98,"25,368,306",24,"2,170,460",11,"219,830"
378,BCAC,34.33 %,7,$25,12,"370,415",6,"58,978",34,"2,552,426",4,"102,363",2,"41,050"
379,BCACU,12.28 %,6,$8,3,"1,114",5,"107,300",17,"736,393",2,"1,048",1,"12,500"
380,BCACW,09/30/2021,-200,$130,09/30/2021,"127,682",New,$116,-9.978%,$82,09/30/2021,"53,688",0%,$49
381,BCBP,32.17 %,17,$84,24,"493,680",34,"505,104",67,"5,479,578",9,"285,870",11,"94,895"
382,BCDA,17.00 %,17,$6,8,"239,000",10,"467,663",26,"2,868,529",6,"237,102",4,"73,694"
383,BCEL,76.69 %,30,$110,47,"2,590,223",47,"6,571,967",120,"23,341,732",14,"1,518,364",15,"3,676,118"
384,BCLI,14.15 %,36,$15,13,"555,186",35,"1,050,578",61,"5,132,025",5,"167,338",10,"262,088"
385,BCML,53.89 %,11,$111,20,"447,456",33,"521,512",65,"5,758,016",3,"37,876",8,"237,083"
386,BCOR,89.94 %,49,$767,45,"2,047,012",85,"2,268,770",162,"43,817,078",12,"1,078,820",23,"495,810"
387,BCOV,83.83 %,41,$341,64,"3,221,044",62,"3,278,546",146,"34,446,666",24,"723,552",19,"1,225,314"
388,BCOW,17.32 %,6,$12,13,"816,429",5,"15,982",18,"1,103,706",5,"662,808",4,"13,504"
389,BCPC,90.60 %,32,"$5,056",117,"1,998,496",93,"1,304,063",277,"29,339,042",26,"345,238",13,"45,760"
390,BCRX,57.92 %,179,"$1,282",98,"9,022,010",93,"10,800,396",225,"103,598,054",31,"1,929,572",27,"1,498,740"
391,BCTX,3.84 %,15,$6,13,"392,318",20,"3,604,144",35,"589,821",11,"386,841",14,"3,555,523"
392,BCTXW,09/30/2021,0,"$1,796",09/30/2021,"254,437",154.437%,"$1,219",New,$558,09/30/2021,"75,000",0%,$359
393,BCYC,48.34 %,29,$778,37,"3,357,527",30,"1,559,092",75,"14,210,708",23,"2,229,457",6,"562,065"
394,BDSI,61.96 %,99,$185,72,"6,992,500",54,"4,999,637",161,"61,211,300",18,"2,745,385",9,"1,122,497"
395,BDSX,15.71 %,27,$27,25,"576,759",24,"1,453,608",54,"4,243,781",7,"84,398",11,"1,267,623"
396,BEAM,65.61 %,68,"$3,694",136,"5,567,512",75,"5,442,989",258,"44,701,892",37,"1,274,090",35,"837,945"
397,BECN,104.03 %,70,"$4,025",83,"4,596,741",103,"3,695,419",226,"72,856,368",20,"1,976,546",24,"1,224,836"
398,BEEM,45.94 %,9,$115,40,"487,635",30,"506,170",88,"4,111,387",17,"142,235",13,"172,156"
399,BENEW,09/30/2021,0,$588,09/30/2021,"394,119",0%,$441,0%,$440,09/30/2021,"364,643",New,$408
400,BFIN,59.72 %,13,$87,16,"229,898",26,"849,687",55,"7,931,305",5,"138,772",6,"102,609"
401,BFRA,0.14 %,28,$0,2,278,2,"8,137",5,"39,912",0,0,0,0
402,BFST,31.43 %,20,$184,31,"392,207",27,"344,289",71,"6,411,744",11,"164,826",2,"49,577"
403,BGCP,65.68 %,323,"$1,005",85,"21,479,155",105,"30,837,366",234,"212,038,369",20,"6,799,565",34,"12,085,916"
404,BGFV,60.64 %,22,$357,75,"3,208,426",69,"2,285,643",163,"13,529,353",29,"1,570,233",23,"411,024"
405,BGNE,60.67 %,93,"$19,713",126,"2,846,226",113,"2,195,028",286,"56,655,645",29,"1,023,754",36,"570,785"
406,BGRY,83.13 %,224,"$1,117",48,"180,883,314",57,"14,972,825",106,"186,164,912",38,"178,698,990",50,"13,650,793"
407,BHAT,0.56 %,53,$0,4,"112,311",4,"369,309",10,"301,490",3,"106,173",3,"266,709"
408,BHF,83.12 %,80,"$3,555",133,"3,052,380",168,"4,974,239",447,"66,343,483",42,"811,468",35,"427,903"
409,BHFAL,1.54 %,15,$6,1,"6,130",0,0,1,"230,858",0,0,0,0
410,BIMI,3.34 %,37,$1,5,"796,251",4,"81,188",10,"1,221,327",2,"351,960",3,"79,412"
411,BIOC,12.03 %,17,$7,15,"821,151",13,"408,994",35,"2,025,409",11,"801,921",5,"173,096"
412,BIOL,14.71 %,153,$9,24,"5,239,630",14,"378,764",53,"22,549,404",12,"3,044,194",6,"61,703"
413,BIOT,65.46 %,23,$149,27,"2,619,587",10,"650,316",65,"15,054,844",14,"1,351,418",6,"535,665"
414,BIOTU,20.63 %,23,$49,5,"50,570",16,"1,830,378",42,"4,743,933",1,"16,804",8,"1,279,782"
415,BIOTW,09/30/2021,49,$538,09/30/2021,"623,873",24.321%,$499,0%,$371,09/30/2021,"339,424",0%,$272
416,BIOX,2.19 %,41,$14,9,"173,775",7,"23,824",20,"902,180",1,144,5,"20,506"
417,BKEP,30.07 %,42,$41,19,"591,809",10,"669,946",40,"12,485,048",5,"52,593",3,"11,654"
418,BKEPP,0.90 %,34,$3,0,0,1,"16,657",1,"308,000",0,0,0,0
419,BKNG,91.96 %,41,"$88,404",608,"2,698,106",530,"2,495,984","1,355","37,761,414",112,"630,676",77,"458,367"
420,BKSC,8.36 %,6,$9,5,"8,462",8,"16,269",23,"462,758",3,"4,803",2,"14,286"
421,BKYI,7.46 %,8,$2,6,"90,874",8,"61,915",19,"584,498",4,"72,486",5,"44,203"
422,BL,98.31 %,59,"$6,635",165,"2,996,270",147,"2,128,587",380,"57,665,032",45,"1,654,348",41,"753,665"
423,BLBD,88.14 %,27,$558,33,"1,659,264",45,"1,688,024",95,"24,043,802",5,"258,188",17,"1,178,076"
424,BLCM,18.30 %,8,$3,5,"24,890",9,"43,311",30,"1,536,648",0,0,3,"30,858"
425,BLCT,28.10 %,13,$9,10,"142,011",11,"545,944",23,"3,745,707",7,"129,569",6,"252,115"
426,BLDE,39.32 %,69,$233,46,"6,318,935",41,"2,389,332",104,"27,300,140",28,"951,437",22,"1,456,958"
427,BLDEW,09/30/2021,0,"$4,830",09/30/2021,"770,411",-4.147%,"$1,618",0%,"$1,470",09/30/2021,"526,067",135.057%,"$1,105"
428,BLDP,28.39 %,298,"$1,324",118,"23,424,036",92,"12,148,914",273,"84,484,287",36,"11,831,651",26,"2,067,130"
429,BLFS,76.53 %,42,"$1,452",97,"6,442,357",55,"2,591,255",175,"31,873,785",44,"1,327,134",10,"55,892"
430,BLFY,34.25 %,29,$148,54,"9,770,325",0,0,54,"9,770,325",54,"9,770,325",0,0
431,BLMN,106.97 %,89,"$1,887",147,"11,168,657",121,"12,009,152",302,"95,474,093",55,"3,881,083",32,"1,745,209"
432,BLNG,41.13 %,16,$62,17,"6,395,286",0,0,17,"6,395,286",17,"6,395,286",0,0
433,BLNK,32.90 %,42,$539,89,"1,348,959",87,"3,478,458",222,"13,883,394",25,"281,897",47,"717,686"
434,BLNKW,09/30/2021,498,$33,09/30/2021,2,0%,$0,Sold Out,,09/30/2021,0,Sold Out,
435,BLPH,12.46 %,10,$4,7,"10,624",16,"136,253",28,"1,184,871",1,500,6,"63,140"
436,BLRX,5.13 %,47,$6,12,"1,450,333",11,"441,643",35,"2,433,426",6,"1,287,517",6,"40,997"
437,BLSA,94.62 %,15,$139,6,"167,699",14,"224,022",51,"14,062,667",4,"162,277",7,"162,722"
438,BLTS,76.15 %,23,$174,20,"2,252,571",7,"672,954",70,"17,514,593",5,"310,103",6,"672,854"
439,BLTSU,15.21 %,23,$36,4,"131,628",14,"1,543,808",33,"3,497,850",1,"125,399",8,"1,174,914"
440,BLTSW,09/30/2021,"288,704",$601,09/30/2021,"637,800",19.215%,$600,0%,$477,09/30/2021,"500,000",0%,$470
441,BLU,63.96 %,78,$302,29,"12,751,516",22,"10,528,450",61,"50,100,844",14,"5,739,920",7,"397,337"
442,BLUE,75.20 %,70,$566,93,"8,754,960",118,"9,113,360",257,"52,717,856",28,"1,724,687",58,"4,968,115"
443,BMRC,47.91 %,16,$289,56,"966,165",60,"1,381,370",129,"7,698,103",13,"248,985",28,"859,664"
444,BMRN,96.48 %,184,"$15,905",238,"14,594,965",219,"12,392,672",560,"177,133,690",49,"3,721,889",58,"1,299,755"
445,BMTC,81.18 %,20,$796,56,"953,458",62,"831,221",154,"16,155,275",16,"416,338",13,"283,838"
446,BNFT,82.08 %,33,$285,51,"4,156,232",56,"4,743,467",127,"27,441,243",20,"1,580,005",18,"2,149,307"
447,BNGO,25.05 %,289,$299,76,"7,475,305",74,"9,674,085",183,"72,431,647",22,"1,048,245",26,"1,355,581"
448,BNTC,18.62 %,8,$5,10,"94,755",6,"77,816",22,"1,521,591",6,"40,448",4,"73,887"
449,BOMN,65.74 %,29,$581,48,"438,576",35,"1,665,676",114,"18,796,836",15,"174,359",6,"131,606"
450,BON,0.26 %,8,$0,3,"19,912",1,"5,189",4,"20,912",1,"18,712",1,"5,189"
451,BOOM,101.52 %,19,$747,60,"1,147,367",83,"1,967,521",170,"19,009,776",20,"230,933",30,"975,806"
452,BOSC,17.57 %,5,$3,2,"302,919",4,"55,916",10,"917,865",1,"18,200",2,"14,159"
453,BOTJ,29.52 %,5,$23,11,"50,086",8,"53,748",24,"1,399,335",0,0,3,424
454,BOXL,17.23 %,62,$17,25,"2,744,022",13,"263,980",48,"10,695,073",14,"1,991,611",4,"61,849"
455,BPMC,103.33 %,59,"$6,316",141,"6,741,892",126,"5,077,830",319,"60,797,360",42,"2,231,687",30,"1,147,703"
456,BPRN,35.59 %,7,$74,14,"270,591",25,"134,181",50,"2,410,990",3,"36,685",7,"43,981"
457,BPTS,0.24 %,122,$2,2,"13,302",1,"2,300",4,"296,586",0,0,0,0
458,BPYPM,0.00 %,27,$0,6,262,0,0,6,262,6,262,0,0
459,BPYPP,1.36 %,7,$3,0,0,0,0,1,"100,000",0,0,0,0
460,BREZR,09/30/2021,0,$268,09/30/2021,"900,000",0%,$208,0%,$185,09/30/2021,"578,930",0.016%,$134
461,BREZW,09/30/2021,0,$346,09/30/2021,"376,572",0%,$225,0%,$179,09/30/2021,"300,000",0%,$179
462,BRID,5.34 %,9,$6,2,89,16,"26,775",23,"484,983",0,0,3,"1,634"
463,BRIV,63.66 %,17,$107,50,"10,336,668",3,"468,760",55,"10,980,861",49,"10,130,457",2,"412,953"
