,tick,position,error
312,HIIIW,1998,'NoneType' object is not subscriptable
313,HLAHW,2005,'NoneType' object is not subscriptable
314,HLBZW,2007,'NoneType' object is not subscriptable
315,HMACR,2014,'NoneType' object is not subscriptable
316,HMACW,2016,'NoneType' object is not subscriptable
317,HMCOW,2019,'NoneType' object is not subscriptable
318,HOFVW,2030,'NoneType' object is not subscriptable
319,HOLOW,2033,'NoneType' object is not subscriptable
320,HOVNP,2043,'NoneType' object is not subscriptable
321,HPKEW,2047,'NoneType' object is not subscriptable
322,HPLTW,2050,'NoneType' object is not subscriptable
323,HROWL,2055,'NoneType' object is not subscriptable
324,HSCSW,2060,'NoneType' object is not subscriptable
325,HTIBP,2075,'NoneType' object is not subscriptable
326,HTOOW,2080,'NoneType' object is not subscriptable
327,HTZWW,2082,'NoneType' object is not subscriptable
328,HUMAW,2088,'NoneType' object is not subscriptable
329,HWCPZ,2095,'NoneType' object is not subscriptable
330,HYMCL,2100,'NoneType' object is not subscriptable
331,HYMCW,2101,'NoneType' object is not subscriptable
332,HYZNW,2106,'NoneType' object is not subscriptable
333,ICUCW,2128,'NoneType' object is not subscriptable
334,IGACW,2145,'NoneType' object is not subscriptable
335,IGTAR,2149,'NoneType' object is not subscriptable
336,IGTAW,2151,'NoneType' object is not subscriptable
337,IIIIW,2156,'NoneType' object is not subscriptable
338,IINNW,2159,'NoneType' object is not subscriptable
339,IMACW,2167,'NoneType' object is not subscriptable
340,IMAQR,2169,'NoneType' object is not subscriptable
341,IMAQW,2171,'NoneType' object is not subscriptable
342,IMBIL,2173,'NoneType' object is not subscriptable
343,IMCI,2175,'NoneType' object is not subscriptable
344,IMPPP,2188,'NoneType' object is not subscriptable
345,IMTXW,2194,'NoneType' object is not subscriptable
346,INBKZ,2201,'NoneType' object is not subscriptable
347,INDIW,2208,'NoneType' object is not subscriptable
348,INKAW,2215,'NoneType' object is not subscriptable
349,INTEW,2231,'NoneType' object is not subscriptable
350,INVZW,2240,'NoneType' object is not subscriptable
351,IONR,2245,'NoneType' object is not subscriptable
352,IPAXW,2253,'NoneType' object is not subscriptable
353,IPVIW,2260,'NoneType' object is not subscriptable
354,IPX,2263,'NoneType' object is not subscriptable
355,IQMDW,2267,'NoneType' object is not subscriptable
356,IRAAW,2270,'NoneType' object is not subscriptable
357,ISPOW,2285,'NoneType' object is not subscriptable
358,ITAQW,2292,'NoneType' object is not subscriptable
359,ITQRW,2298,'NoneType' object is not subscriptable
360,IVCAW,2306,'NoneType' object is not subscriptable
361,IXAQW,2314,'NoneType' object is not subscriptable
362,JAQCW,2325,'NoneType' object is not subscriptable
363,JCICW,2331,'NoneType' object is not subscriptable
364,JFBRW,2336,'NoneType' object is not subscriptable
365,JGGCR,2341,'NoneType' object is not subscriptable
366,JGGCW,2343,'NoneType' object is not subscriptable
367,JMACW,2347,'NoneType' object is not subscriptable
368,JOFFW,2353,'NoneType' object is not subscriptable
369,JSPRW,2359,'NoneType' object is not subscriptable
370,JUPWW,2363,'NoneType' object is not subscriptable
371,KACLR,2372,'NoneType' object is not subscriptable
372,KACLW,2373,'NoneType' object is not subscriptable
373,KAIIW,2376,'NoneType' object is not subscriptable
374,KAIRW,2379,'NoneType' object is not subscriptable
375,KALWW,2384,'NoneType' object is not subscriptable
376,KBNTW,2389,'NoneType' object is not subscriptable
377,KERNW,2398,'NoneType' object is not subscriptable
378,KINZW,2406,'NoneType' object is not subscriptable
379,KITTW,2409,'NoneType' object is not subscriptable
380,KLAQW,2413,'NoneType' object is not subscriptable
381,KPLTW,2427,'NoneType' object is not subscriptable
382,KRNLW,2435,'NoneType' object is not subscriptable
383,KSICW,2446,'NoneType' object is not subscriptable
384,KTTAW,2452,'NoneType' object is not subscriptable
385,KYCHR,2459,'NoneType' object is not subscriptable
386,LATGW,2478,'NoneType' object is not subscriptable
387,LCAHW,2496,'NoneType' object is not subscriptable
388,LEGAW,2507,'NoneType' object is not subscriptable
389,LEXXW,2512,'NoneType' object is not subscriptable
390,LFACW,2514,'NoneType' object is not subscriptable
391,LFLYW,2517,'NoneType' object is not subscriptable
392,LFMDP,2519,'NoneType' object is not subscriptable
393,LGACW,2525,'NoneType' object is not subscriptable
394,LGHLW,2527,'NoneType' object is not subscriptable
395,LGSTW,2532,'NoneType' object is not subscriptable
396,LGTOW,2535,'NoneType' object is not subscriptable
397,LGVCW,2538,'NoneType' object is not subscriptable
398,LIBYW,2546,'NoneType' object is not subscriptable
399,LIDRW,2548,'NoneType' object is not subscriptable
400,LILMW,2553,'NoneType' object is not subscriptable
401,LIONW,2558,'NoneType' object is not subscriptable
402,LITTW,2564,'NoneType' object is not subscriptable
403,LIXTW,2569,'NoneType' object is not subscriptable
404,LMACW,2576,'NoneType' object is not subscriptable
405,LMDXW,2580,'NoneType' object is not subscriptable
406,LOTZW,2597,'NoneType' object is not subscriptable
407,LSEAW,2615,'NoneType' object is not subscriptable
408,LSPRW,2618,'NoneType' object is not subscriptable
409,LTCHW,2626,'NoneType' object is not subscriptable
410,LTRYW,2632,'NoneType' object is not subscriptable
411,LUCYW,2635,'NoneType' object is not subscriptable
412,LVACW,2643,'NoneType' object is not subscriptable
413,MACAW,2665,'NoneType' object is not subscriptable
414,MAPSW,2669,'NoneType' object is not subscriptable
415,MAQCW,2671,'NoneType' object is not subscriptable
416,MBINN,2685,'NoneType' object is not subscriptable
417,MBINO,2686,'NoneType' object is not subscriptable
418,MBLY,2689,'NoneType' object is not subscriptable
419,MBTCR,2694,'NoneType' object is not subscriptable
420,MCAAW,2698,'NoneType' object is not subscriptable
421,MCACR,2700,'NoneType' object is not subscriptable
